id,prompt_text,prompt_title,prompt_type,play_id,company_id,asset_id,created_at
rep-hex-001,"Review the molecular ""DNA"" of Hexenon.",What is Hexenon?,watch,play-hex-001,comp-hexaloom-005,ast-hex-001,2024-01-15T09:05:00Z
rep-hex-002,Describe Hexenon molecular structure to a client.,Structure Pitch,practice,play-hex-001,comp-hexaloom-005,,2024-01-15T09:10:00Z
rep-hex-003,Watch the Synthetic Sinew application demo.,Sinew in Motion,watch,play-hex-002,comp-hexaloom-005,ast-hex-002,2024-02-10T10:35:00Z
rep-hex-004,Explain how Hexenon-S replaces heavy motors.,Replacing Motors,practice,play-hex-002,comp-hexaloom-005,,2024-02-10T10:40:00Z
rep-hex-005,Examine the surgical threading requirements.,Hexenon-M Specs,watch,play-hex-003,comp-hexaloom-005,ast-hex-003,2024-03-05T14:20:00Z
rep-hex-006,Analyze the Neuro-Linker diagram.,Threading Schema,watch,play-hex-003,comp-hexaloom-005,ast-hex-004,2024-03-05T14:25:00Z
rep-hex-007,Watch the spinal bridge case study.,Clinical Success,watch,play-hex-003,comp-hexaloom-005,ast-hex-005,2024-03-05T14:30:00Z
rep-hex-008,Identify the primary conductive thread diameter.,Diameter Check,practice,play-hex-003,comp-hexaloom-005,,2024-03-05T14:35:00Z
rep-hex-009,Review ballistic absorption data.,Impact Data,watch,play-hex-004,comp-hexaloom-005,ast-hex-006,2024-03-20T08:50:00Z
rep-hex-010,Hexenon-X vs Steel Impact test video.,Stress Testing,watch,play-hex-004,comp-hexaloom-005,ast-hex-007,2024-03-20T08:55:00Z
rep-hex-011,Plating layering schema image.,Layering Logic,watch,play-hex-004,comp-hexaloom-005,ast-hex-008,2024-03-20T09:00:00Z
rep-hex-012,Compare Hexenon-X weight to steel.,Weight Comparison,practice,play-hex-004,comp-hexaloom-005,,2024-03-20T09:05:00Z
rep-hex-013,Calculate impact energy for a 10mm plate.,Energy Math,practice,play-hex-004,comp-hexaloom-005,,2024-03-20T09:10:00Z
rep-hex-014,Review non-toxic polymer standards.,Safety First,watch,play-hex-005,comp-hexaloom-005,ast-hex-009,2024-04-12T16:25:00Z
rep-hex-015,Pitch Hexenon-Lite to a drone manufacturer.,Drone Pitch,practice,play-hex-005,comp-hexaloom-005,,2024-04-12T16:30:00Z
rep-vel-001,Read the Amproxin product guide.,Amproxin Guide,watch,play-vel-001,comp-veldra-001,ast-vel-001,2024-01-01T08:05:00Z
